status;category;severity_priority;severity_name;severity_effect;begin_date;end_date;duration;cause;line;station
future;Incidents;0;bloquante;NO_SERVICE;20220807T120000;20220821T034500;0;travaux;4;Porte de Clignancourt
future;Incidents;0;bloquante;NO_SERVICE;20220821T040000;20220821T164500;0;travaux;14;Olympiades
future;Incidents;0;bloquante;NO_SERVICE;20220821T040000;20220821T164500;0;travaux;14;Mairie de Saint-Ouen
future;Incidents;0;bloquante;NO_SERVICE;20220814T040000;20220814T164500;0;travaux;14;Olympiades
future;Incidents;0;bloquante;NO_SERVICE;20220814T040000;20220814T164500;0;travaux;14;Mairie de Saint-Ouen
active;Incidents;0;bloquante;NO_SERVICE;20220716T040000;20220717T034500;0;travaux;3;Pont de Levallois
active;Incidents;0;bloquante;NO_SERVICE;20220716T040000;20220717T034500;0;travaux;3;Bécon
active;Incidents;0;bloquante;NO_SERVICE;20220716T040000;20220717T034500;0;travaux;3;Gallieni
active;Incidents;0;bloquante;NO_SERVICE;20220715T040000;20220716T034500;0;travaux;3;Pont de Levallois
active;Incidents;0;bloquante;NO_SERVICE;20220715T040000;20220716T034500;0;travaux;3;Bécon
active;Incidents;0;bloquante;NO_SERVICE;20220715T040000;20220716T034500;0;travaux;3;Gallieni
active;Incidents;0;bloquante;NO_SERVICE;20220714T040000;20220715T034500;0;travaux;3;Pont de Levallois
active;Incidents;0;bloquante;NO_SERVICE;20220714T040000;20220715T034500;0;travaux;3;Bécon
active;Incidents;0;bloquante;NO_SERVICE;20220714T040000;20220715T034500;0;travaux;3;Gallieni
active;Incidents;0;bloquante;NO_SERVICE;20220719T040000;20220720T034500;0;travaux;3;Pont de Levallois
active;Incidents;0;bloquante;NO_SERVICE;20220719T040000;20220720T034500;0;travaux;3;Bécon
active;Incidents;0;bloquante;NO_SERVICE;20220719T040000;20220720T034500;0;travaux;3;Gallieni
active;Incidents;0;bloquante;NO_SERVICE;20220718T040000;20220719T034500;0;travaux;3;Pont de Levallois
active;Incidents;0;bloquante;NO_SERVICE;20220718T040000;20220719T034500;0;travaux;3;Bécon
active;Incidents;0;bloquante;NO_SERVICE;20220718T040000;20220719T034500;0;travaux;3;Gallieni
active;Incidents;0;bloquante;NO_SERVICE;20220717T040000;20220718T034500;0;travaux;3;Pont de Levallois
active;Incidents;0;bloquante;NO_SERVICE;20220717T040000;20220718T034500;0;travaux;3;Bécon
active;Incidents;0;bloquante;NO_SERVICE;20220717T040000;20220718T034500;0;travaux;3;Gallieni
future;Incidents;0;bloquante;NO_SERVICE;20220710T030000;20220710T124500;0;travaux;4;Mairie de Montrouge
future;Incidents;0;bloquante;NO_SERVICE;20220710T030000;20220710T124500;0;travaux;4;Porte de Clignancourt
future;Incidents;0;bloquante;NO_SERVICE;20220717T030000;20220717T124500;0;travaux;4;Mairie de Montrouge
future;Incidents;0;bloquante;NO_SERVICE;20220717T030000;20220717T124500;0;travaux;4;Porte de Clignancourt
future;Incidents;0;bloquante;NO_SERVICE;20220731T030000;20220731T124500;0;travaux;4;Mairie de Montrouge
future;Incidents;0;bloquante;NO_SERVICE;20220731T030000;20220731T124500;0;travaux;4;Porte de Clignancourt
future;Incidents;0;bloquante;NO_SERVICE;20220626T030000;20220705T202504;0;travaux;4;Mairie de Montrouge
future;Incidents;0;bloquante;NO_SERVICE;20220626T030000;20220705T202504;0;travaux;4;Porte de Clignancourt
future;Incidents;0;bloquante;NO_SERVICE;20220724T030000;20220724T124500;0;travaux;4;Mairie de Montrouge
future;Incidents;0;bloquante;NO_SERVICE;20220724T030000;20220724T124500;0;travaux;4;Porte de Clignancourt
future;Incidents;0;bloquante;NO_SERVICE;20220807T030000;20220807T124500;0;travaux;4;Mairie de Montrouge
future;Incidents;0;bloquante;NO_SERVICE;20220807T030000;20220807T124500;0;travaux;4;Porte de Clignancourt
future;Incidents;0;bloquante;NO_SERVICE;20220703T030000;20220705T202504;0;travaux;4;Mairie de Montrouge
future;Incidents;0;bloquante;NO_SERVICE;20220703T030000;20220705T202504;0;travaux;4;Porte de Clignancourt
active;Incidents;0;bloquante;NO_SERVICE;20220626T220000;20220705T202504;0;travaux;14;Olympiades
active;Incidents;0;bloquante;NO_SERVICE;20220626T220000;20220705T202504;0;travaux;14;Mairie de Saint-Ouen
active;Incidents;0;bloquante;NO_SERVICE;20220727T220000;20220728T041500;0;travaux;14;Olympiades
active;Incidents;0;bloquante;NO_SERVICE;20220727T220000;20220728T041500;0;travaux;14;Mairie de Saint-Ouen
active;Incidents;0;bloquante;NO_SERVICE;20220705T220000;20220706T041500;0;travaux;14;Olympiades
active;Incidents;0;bloquante;NO_SERVICE;20220705T220000;20220706T041500;0;travaux;14;Mairie de Saint-Ouen
active;Incidents;0;bloquante;NO_SERVICE;20220726T220000;20220727T041500;0;travaux;14;Olympiades
active;Incidents;0;bloquante;NO_SERVICE;20220726T220000;20220727T041500;0;travaux;14;Mairie de Saint-Ouen
active;Incidents;0;bloquante;NO_SERVICE;20220725T220000;20220726T041500;0;travaux;14;Olympiades
active;Incidents;0;bloquante;NO_SERVICE;20220725T220000;20220726T041500;0;travaux;14;Mairie de Saint-Ouen
active;Incidents;0;bloquante;NO_SERVICE;20220710T220000;20220711T041500;0;travaux;14;Olympiades
active;Incidents;0;bloquante;NO_SERVICE;20220710T220000;20220711T041500;0;travaux;14;Mairie de Saint-Ouen
active;Incidents;0;bloquante;NO_SERVICE;20220706T220000;20220707T041500;0;travaux;14;Olympiades
active;Incidents;0;bloquante;NO_SERVICE;20220706T220000;20220707T041500;0;travaux;14;Mairie de Saint-Ouen
